# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
abruaz-raden	2026-09-11 14:42:32	2232	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
acx-raden	2026-09-11 14:42:22	2640	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
adamandsteve-immerseus	2026-09-11 14:42:41	2142	399,400,401,1159,1174
aerzkei-arugal-au	2026-09-11 14:42:24	2535	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
akimboyo-pagle	2026-09-11 14:42:36	2186	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093
altmw-pagle	2026-09-11 14:42:23	2529	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
arenaelun-pagle	2026-09-11 14:42:42	2136	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093
argios-nazgrim	2026-09-11 14:42:43	2131	399,400,401,402,403,405,1159,1174,2090,2092,2093
ashkaash-raden	2026-09-11 14:42:36	2240	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
ashvrael-pagle	2026-09-11 14:42:36	2200	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
atreyuz-galakras	2026-09-11 14:42:36	2200	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2092,2093,5266
Åuditore-raden	2026-09-11 14:42:27	2335	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
aureateblue-raden	2026-09-11 14:42:22	2563	
autotrap-raden	2026-09-11 14:42:29	2265	
babycool-raden	2026-09-11 14:42:25	2383	
badraztas-raden	2026-09-11 14:42:31	2253	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
bagelcavee-immerseus	2026-09-11 14:42:34	2311	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
baíleyjay-arugal-au	2026-09-11 14:42:34	2209	399,400,401,402,403,1159,1174,2090
bâz-arugal-au	2026-09-11 14:42:24	2590	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
bcbg-raden	2026-09-11 14:42:42	2136	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
beabo-raden	2026-09-11 14:42:41	2156	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266
becky-raden	2026-09-11 14:42:22	2581	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
bigdkslams-raden	2026-09-11 14:42:43	2125	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2092,2093,5266
bigf-arugal-au	2026-09-11 14:42:27	2343	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093,5266
bígmac-pagle	2026-09-11 14:42:32	2228	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2092,2093,5266,5267
bistwo-pagle	2026-09-11 14:42:27	2305	
bistwo-raden	2026-09-11 14:42:22	2528	
blackgoku-raden	2026-09-11 14:42:33	2221	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
bllackrat-raden	2026-09-11 14:42:40	2156	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093,5266
bocena-pagle	2026-09-11 14:42:38	2179	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093,5266
bocenax-pagle	2026-09-11 14:42:42	2138	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093,5266
bofisticuffs-pagle	2026-09-11 14:42:31	2255	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093,5266
bojackalxx-pagle	2026-09-11 14:42:37	2180	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093,5266
boltboy-raden	2026-09-11 14:42:24	2456	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
boltsboy-raden	2026-09-11 14:42:33	2456	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
boofed-raden	2026-09-11 14:42:42	2139	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
booshen-raden	2026-09-11 14:42:22	2569	
boxxerx-raden	2026-09-11 14:42:30	2262	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
brotherqt-raden	2026-09-11 14:42:38	2172	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093
brutality-galakras	2026-09-11 14:42:40	2170	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093
buryniceqt-raden	2026-09-11 14:42:25	2401	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
cashpoorxlm-raden	2026-09-11 14:42:39	2169	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
cathdru-raden	2026-09-11 14:42:34	2204	399,400,401,1159,1174,2090,2093
chilloutboii-galakras	2026-09-11 14:42:36	2201	399,400,401,402,403,1159,1174,2090,2092,2093
chinotonic-pagle	2026-09-11 14:42:30	2275	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
chiokeme-arugal-au	2026-09-11 14:42:36	2189	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
chonkars-raden	2026-09-11 14:42:26	2334	
chunkyhealz-galakras	2026-09-11 14:42:35	2206	399,400,401,402,403,1159,1174,2090,2093
cmw-raden	2026-09-11 14:42:29	2304	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266
cobear-pagle	2026-09-11 14:42:40	2170	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093
compassiion-raden	2026-09-11 14:42:40	2158	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093,5266
cripton-raden	2026-09-11 14:42:25	2399	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
critwo-pagle	2026-09-11 14:42:27	2304	
cruisin-raden	2026-09-11 14:42:32	2234	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
cupidxp-raden	2026-09-11 14:42:41	2149	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
daburghcuz-pagle	2026-09-11 14:42:41	2141	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093
dakini-raden	2026-09-11 14:42:27	2316	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
damacus-raden	2026-09-11 14:42:27	2332	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2092,2093,5266
dankenbrew-lei-shen	2026-09-11 14:42:34	2204	399,400,401,402,403,405,406,1159,1160,1174,2090,2092,2093,5266
dankorbs-pagle	2026-09-11 14:42:38	2173	399,400,401,402,403,405,406,1159,1160,1174,2090,2092,2093,5266
darknuns-pagle	2026-09-11 14:42:41	2141	399,400,401,402,403,405,1160,1174,2090,2093
ddk-pagle	2026-09-11 14:42:28	2309	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093,5266
deathsvoice-lei-shen	2026-09-11 14:42:43	2127	399,400,401,402,403,405,1159,1160,1174,2090,2093
deepwounds-raden	2026-09-11 14:42:24	2503	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
defeated-raden	2026-09-11 14:42:38	2173	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
delané-raden	2026-09-11 14:42:41	2141	399,400,401,402,403,405,1159,1160,1174,2090,2092,2093
delvina-raden	2026-09-11 14:42:41	2141	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2092,2093,5266
